flight_1_from,flight_1_to,Flight_1_time,flight_1_price,flight_2_from,flight_2_to,Flight_2_time,flight_2_price
EJA,PEI,08:16:49,615.49,BAQ,PEI,00:41:02,396.68
UIB,SMR,04:04:11,1027.58,EJA,LET,19:19:36,1229.12
AUC,UIB,21:21:46,960.73,EJA,AUC,18:19:04,1155.19
BAQ,BAQ,11:57:33,1252.58,UIB,AUC,06:51:22,1201.78
CUC,AUC,01:10:47,1345.79,BAQ,SMR,00:49:47,1219.50
BOG,PEI,12:19:31,1188.06,BGA,AUC,03:01:45,853.85
BGA,EJA,20:02:53,1287.00,PEI,MDE,22:26:15,877.65
EJA,LET,01:33:00,805.62,BGA,EJA,19:25:26,1336.72
EJA,BGA,18:09:13,840.96,CTG,ADZ,07:38:57,1363.27
MTR,BOG,19:50:30,905.29,AUC,SMR,18:15:43,442.03
BAQ,LET,06:01:41,420.73,SMR,PEI,02:57:55,319.69
ADZ,LET,00:26:13,375.30,EJA,CTG,06:30:55,1398.67
CLO,CTG,10:27:37,384.19,UIB,BAQ,18:24:25,1050.30
MDE,ADZ,19:55:39,825.59,SMR,BOG,16:05:08,629.67
MDE,LET,21:53:37,1159.77,EJA,EJA,23:42:48,1258.39
PEI,AUC,07:45:34,1009.49,SMR,AUC,12:04:15,1304.89
UIB,UIB,13:13:18,412.61,UIB,ADZ,23:53:27,528.59
CUC,PEI,23:36:30,1249.42,CTG,EJA,01:04:28,459.91
BOG,BOG,23:06:31,1354.83,BAQ,CLO,22:59:17,657.50
AUC,CLO,15:48:27,527.90,BAQ,MDE,03:56:20,558.98
CLO,BOG,15:28:11,831.33,MDE,BGA,11:27:30,581.88
EJA,BOG,16:10:08,1207.13,CUC,AUC,00:31:10,1091.63
AUC,EJA,15:37:03,308.41,LET,PEI,12:27:32,1008.23
MDE,CLO,02:02:34,863.14,CUC,EJA,23:20:29,487.35
BGA,UIB,02:09:12,1067.07,UIB,BGA,14:40:30,693.78
BAQ,ADZ,01:52:03,388.31,PEI,BAQ,22:04:34,1261.83
CUC,CUC,11:02:18,855.93,BOG,CLO,12:22:24,843.21
EJA,LET,17:38:13,307.95,BAQ,BAQ,11:12:49,1112.84
EJA,SMR,00:35:05,816.90,AUC,BAQ,04:47:42,1190.75
SMR,BOG,15:31:13,1493.67,UIB,LET,19:56:35,439.78
MDE,BAQ,02:10:10,1256.70,ADZ,CTG,03:38:43,1341.10
CLO,PEI,02:15:57,1316.03,AUC,CUC,18:10:08,562.55
BOG,LET,12:28:43,1357.03,MDE,MTR,09:08:00,1131.53
CLO,CLO,13:00:59,460.64,CUC,CLO,04:29:13,578.64
BGA,SMR,09:53:35,1311.85,BGA,BOG,23:01:42,445.82
ADZ,CLO,22:58:44,413.28,SMR,LET,09:50:41,878.35
BGA,MTR,10:56:50,1485.88,ADZ,EJA,14:30:00,971.52
AUC,BAQ,05:27:49,1386.70,CTG,UIB,07:38:48,1229.70
PEI,BGA,02:47:24,782.06,MDE,CUC,21:21:15,1475.59
UIB,PEI,00:57:24,1343.74,MDE,EJA,22:21:40,1342.20
BOG,CUC,08:49:15,335.58,BAQ,BGA,01:17:27,610.41
MTR,MDE,15:05:04,834.77,CUC,LET,02:15:06,1136.43
CTG,MDE,17:20:06,428.79,PEI,LET,12:20:21,723.23
AUC,ADZ,03:22:26,1081.97,CLO,CTG,10:32:29,1186.44
MTR,BOG,03:02:56,895.02,BOG,BAQ,17:44:45,428.30
CLO,BOG,21:56:37,1409.86,BGA,BAQ,02:23:51,1045.04
UIB,BGA,10:50:26,883.30,MTR,UIB,20:02:39,1262.95
BAQ,UIB,16:17:50,970.22,ADZ,SMR,11:30:39,374.95
CUC,MDE,09:19:28,1193.77,MTR,AUC,05:14:40,773.87
SMR,CUC,02:41:00,1338.52,PEI,BAQ,07:08:44,1204.55
CLO,BOG,20:10:57,984.78,BAQ,CUC,00:19:48,686.96
CTG,CUC,05:50:43,1468.41,MTR,BGA,23:22:49,1298.92
BOG,PEI,11:23:05,1172.55,SMR,CTG,04:24:45,486.73
SMR,MDE,07:32:40,1401.65,UIB,SMR,06:58:45,401.44
CTG,PEI,04:48:38,634.65,SMR,SMR,18:13:03,1204.35
AUC,BOG,07:57:21,545.79,ADZ,BGA,12:06:05,878.19
MDE,LET,12:09:55,1232.21,BOG,PEI,10:04:33,990.58
ADZ,MDE,04:13:12,758.71,CLO,BOG,20:54:52,1398.04
UIB,BAQ,18:20:10,1006.50,BAQ,CLO,07:43:28,574.13
BOG,MTR,03:30:13,1097.05,MTR,EJA,21:50:44,662.88
SMR,AUC,23:50:40,537.39,CTG,MDE,10:46:18,420.04
CUC,BOG,09:24:50,395.19,UIB,SMR,16:34:13,649.00
BGA,CLO,17:08:52,522.22,BAQ,CLO,23:03:57,1259.02
ADZ,PEI,21:59:43,945.77,ADZ,BGA,10:53:27,484.64
MTR,UIB,21:00:31,326.25,AUC,MDE,08:52:44,684.44
CTG,MTR,21:57:25,1491.47,CTG,SMR,11:34:07,910.96
LET,BOG,23:26:32,595.65,MDE,EJA,01:43:04,629.64
AUC,LET,18:40:10,1429.09,CLO,ADZ,10:34:49,782.02
LET,LET,08:59:48,896.55,SMR,ADZ,22:31:36,738.05
ADZ,LET,10:30:16,372.84,UIB,BOG,21:02:39,392.99
CUC,BOG,09:27:52,411.22,BAQ,MDE,13:21:49,538.51
EJA,EJA,12:08:11,466.07,AUC,BGA,22:25:01,572.12
UIB,BOG,07:32:31,1263.31,PEI,BAQ,01:30:29,879.01
BOG,ADZ,10:11:49,702.08,AUC,LET,15:44:11,432.74
AUC,MDE,05:49:13,1239.60,SMR,EJA,06:59:14,1252.14
MTR,CUC,21:17:28,453.79,CLO,LET,13:18:44,1184.45
BOG,PEI,19:10:57,1483.06,ADZ,MTR,14:54:30,775.43
MTR,UIB,04:29:57,663.67,AUC,CLO,02:15:44,1202.28
AUC,MDE,18:30:17,486.98,MDE,EJA,13:27:53,588.08
MTR,SMR,00:15:07,861.60,BGA,CLO,07:45:51,998.41
EJA,SMR,04:20:51,1411.22,EJA,UIB,03:53:44,1088.29
AUC,MDE,09:55:17,1292.10,LET,LET,03:43:22,1226.91
PEI,UIB,18:43:58,1471.66,AUC,CUC,18:02:09,1157.39
AUC,BOG,08:46:33,1095.16,UIB,SMR,06:50:15,1296.90
MTR,UIB,21:07:35,1262.05,BOG,EJA,05:35:32,652.41
SMR,CTG,10:39:20,1274.19,CTG,AUC,13:02:20,938.22
BOG,EJA,00:41:48,1220.32,ADZ,CLO,19:11:49,1232.04
BOG,CTG,05:47:29,1452.41,LET,MTR,09:21:43,738.21
CTG,SMR,02:08:11,801.77,CUC,ADZ,23:17:05,975.85
BOG,MDE,23:57:56,985.19,PEI,LET,16:38:11,1108.77
CTG,ADZ,21:33:27,1490.88,BAQ,UIB,08:28:20,372.89
BAQ,LET,00:51:14,546.71,CUC,CLO,04:01:29,645.66
CLO,MDE,14:52:19,1045.98,MDE,CUC,09:10:42,765.28
BAQ,MDE,20:17:27,437.56,BAQ,BAQ,19:01:46,1066.24
CUC,BGA,02:36:43,1489.99,PEI,MTR,15:10:51,638.89
CTG,UIB,00:05:25,914.07,EJA,CTG,11:20:16,608.47
BOG,BGA,17:04:01,583.12,CUC,EJA,02:28:10,339.47
CLO,BOG,06:45:43,711.48,BOG,BOG,01:57:02,559.49
AUC,MDE,22:17:17,1260.94,EJA,PEI,12:26:27,386.72
CUC,ADZ,05:03:15,987.91,ADZ,BAQ,02:33:09,866.24
CUC,MTR,20:50:24,652.44,CLO,CUC,02:36:45,859.65
SMR,EJA,08:01:02,325.07,AUC,UIB,04:03:01,881.01
CUC,MTR,03:53:08,425.75,LET,CTG,18:26:31,1070.15
BAQ,BOG,07:49:31,507.68,MTR,CUC,07:35:51,1100.94
BGA,EJA,19:32:27,616.26,BOG,MDE,18:33:41,625.96
BAQ,CLO,23:39:29,917.13,AUC,LET,03:22:47,1083.76
BOG,BOG,04:35:09,396.49,BAQ,BGA,04:08:39,1202.38
LET,AUC,23:46:15,869.47,UIB,MTR,00:41:31,835.84
ADZ,PEI,10:09:15,1027.03,ADZ,PEI,23:58:15,1144.34
CTG,EJA,14:54:50,1219.98,MTR,CUC,23:47:24,702.28
AUC,EJA,16:14:59,338.99,MTR,MTR,18:25:50,394.64
MDE,CUC,08:50:42,1437.65,LET,UIB,08:20:46,1327.50
MTR,PEI,23:27:51,922.31,CTG,EJA,19:49:01,473.31
BGA,PEI,14:09:32,1126.76,BGA,MTR,01:26:57,344.04
UIB,BAQ,02:33:41,495.23,UIB,SMR,16:57:31,1384.78
MTR,CLO,22:56:35,467.15,BOG,ADZ,18:13:02,1065.44
ADZ,PEI,09:38:39,1141.15,BGA,AUC,13:16:04,1086.25
MDE,MDE,21:21:14,341.33,UIB,SMR,10:56:50,586.59
BOG,CLO,04:26:10,1047.10,UIB,MDE,12:04:02,429.11
AUC,LET,21:54:31,1287.09,PEI,BOG,12:08:37,1082.05
LET,ADZ,02:49:27,312.51,BAQ,BOG,16:23:12,1251.69
MDE,AUC,00:07:37,392.99,BGA,BOG,23:05:42,1098.30
UIB,EJA,02:09:39,1193.90,BGA,LET,19:09:10,1046.21
SMR,CUC,03:28:13,421.87,BOG,PEI,19:40:43,1052.44
PEI,CLO,17:45:51,415.03,ADZ,ADZ,06:02:17,882.96
AUC,PEI,14:50:44,549.40,CLO,ADZ,11:38:19,830.07
BOG,PEI,00:05:12,761.34,CLO,UIB,05:22:03,1467.88
LET,EJA,12:04:27,1058.07,CTG,MDE,08:58:27,617.37
CLO,BAQ,23:32:06,354.56,EJA,MDE,06:19:40,326.35
BOG,BOG,21:36:34,1234.16,MDE,CUC,14:25:32,1412.82
ADZ,AUC,05:16:24,692.86,EJA,MTR,12:34:37,644.94
AUC,MDE,12:49:16,436.78,ADZ,PEI,17:52:53,765.49
PEI,MTR,01:37:44,1286.31,CUC,EJA,15:24:39,1381.86
SMR,BAQ,12:17:33,1048.41,BAQ,UIB,11:54:18,1473.69
CTG,SMR,21:51:52,1262.51,ADZ,MDE,04:17:07,1038.23
MDE,CTG,19:33:54,1099.96,PEI,LET,19:37:56,1122.38
CLO,MTR,16:58:56,581.40,BGA,BAQ,21:32:31,1062.51
ADZ,CUC,23:30:20,738.33,MDE,AUC,18:04:52,695.75
BGA,EJA,03:26:05,1076.38,MTR,UIB,03:42:58,432.12
MTR,CLO,22:48:40,1026.65,PEI,LET,18:01:36,514.18
SMR,CTG,21:54:35,994.45,CUC,BOG,03:27:21,322.34
LET,AUC,21:34:18,1274.28,MTR,BOG,03:05:53,1327.01
MTR,CUC,17:04:27,1148.29,BGA,LET,17:11:27,1145.25
CUC,EJA,00:32:10,833.99,BGA,MTR,15:33:47,1159.76
CTG,BAQ,20:20:15,405.31,UIB,CTG,02:17:20,939.52
CLO,AUC,12:19:16,1093.55,PEI,CTG,13:59:08,1206.38
AUC,ADZ,19:30:40,320.20,BGA,EJA,17:04:11,422.37
AUC,AUC,19:20:04,1467.84,MTR,MTR,04:22:20,879.98
BOG,MTR,20:36:55,386.23,PEI,CUC,16:00:18,1467.18
CTG,CTG,13:35:16,1129.42,BAQ,SMR,08:18:07,686.01
BGA,SMR,13:32:41,925.07,CLO,BAQ,09:10:28,490.17
EJA,BGA,07:05:27,1355.12,LET,BGA,04:12:39,1118.68
AUC,EJA,13:35:03,1189.73,BAQ,UIB,08:27:09,690.03
BGA,CUC,23:41:40,1288.22,BOG,EJA,18:00:11,593.74
BAQ,LET,22:43:20,864.47,CLO,LET,03:28:28,1150.91
ADZ,BGA,02:09:14,520.81,PEI,BAQ,18:17:45,754.94
UIB,MTR,08:13:48,304.58,PEI,BGA,23:11:12,794.32
BOG,MTR,22:47:24,656.20,ADZ,SMR,19:43:49,898.37
UIB,ADZ,11:02:25,524.03,CTG,MDE,21:03:19,910.33
BOG,PEI,01:59:27,909.67,UIB,CTG,11:56:37,301.81
BGA,UIB,07:41:15,1487.39,PEI,CLO,15:58:45,1021.62
CLO,AUC,06:38:46,894.01,SMR,AUC,15:38:35,1233.78
PEI,EJA,13:48:02,1303.07,CTG,PEI,00:51:23,913.79
BGA,BOG,18:46:48,588.69,BGA,ADZ,17:38:29,756.62
BAQ,MTR,23:28:15,650.01,CLO,LET,20:04:11,1328.05
AUC,MDE,04:12:22,1440.61,CTG,CUC,18:22:39,1443.72
EJA,BAQ,16:44:03,747.40,MTR,BGA,13:51:03,799.43
BAQ,EJA,14:14:31,1155.37,BOG,LET,17:44:21,1063.00
AUC,BOG,01:26:23,986.28,AUC,PEI,02:54:37,589.16
BOG,UIB,03:25:02,1059.61,ADZ,MTR,17:33:35,585.64
MTR,CLO,11:32:08,1111.43,SMR,PEI,18:13:37,1099.98
ADZ,PEI,00:12:38,1113.25,CTG,ADZ,09:44:58,1197.95
MDE,ADZ,06:50:10,757.01,CLO,BAQ,18:31:59,999.97
AUC,PEI,18:56:16,416.53,BGA,SMR,18:11:44,374.74
LET,MDE,21:03:49,615.87,AUC,AUC,02:05:23,1226.17
MDE,CTG,16:44:13,691.68,BAQ,BOG,03:36:54,566.58
LET,MDE,23:16:07,599.24,ADZ,CUC,19:55:03,867.95
LET,MDE,13:46:40,405.43,LET,BOG,18:19:59,1017.67
AUC,ADZ,12:16:51,1381.50,AUC,PEI,23:52:30,1070.97
EJA,BGA,15:47:23,1316.72,MTR,CUC,16:53:53,1245.01
BAQ,EJA,17:23:36,952.03,EJA,AUC,22:31:39,955.19
CUC,LET,03:30:46,1193.50,UIB,EJA,18:38:11,665.42
PEI,ADZ,15:53:27,908.14,CTG,CTG,15:11:19,1113.76
CTG,BOG,16:37:45,945.41,LET,BGA,02:27:01,1120.17
UIB,LET,13:53:37,1068.10,EJA,AUC,12:00:08,705.50
CTG,BOG,11:54:46,1026.64,UIB,LET,21:07:59,610.26
BGA,CUC,10:54:43,1462.07,ADZ,CUC,17:59:55,777.07
AUC,BAQ,19:27:58,321.06,BAQ,MDE,06:57:42,1051.92
EJA,MTR,09:29:38,1146.08,AUC,BOG,23:19:41,592.45
MTR,CUC,12:55:51,1341.72,BGA,MDE,12:04:59,1158.76
BOG,BOG,04:01:14,881.99,CUC,BAQ,16:09:53,996.96
BGA,BAQ,00:13:57,1022.98,BAQ,UIB,08:23:52,602.61
PEI,PEI,20:42:22,1083.59,CLO,UIB,21:24:31,793.50
BAQ,BGA,01:29:18,378.18,MDE,EJA,07:40:50,954.67
EJA,SMR,08:43:41,905.36,UIB,CUC,08:35:54,1340.06
UIB,MTR,00:38:29,1401.55,LET,SMR,12:01:10,529.63
SMR,CTG,06:07:09,999.51,MDE,BAQ,23:26:36,1417.35
PEI,AUC,02:17:21,1104.28,BGA,CUC,06:56:42,750.10
CTG,EJA,23:24:56,949.20,LET,MTR,06:33:46,964.13
MTR,CUC,00:14:01,762.62,BGA,PEI,20:01:09,371.57
CUC,MDE,08:44:15,732.33,EJA,LET,12:45:00,671.81
UIB,BOG,12:01:36,406.15,SMR,AUC,08:23:35,1275.92
AUC,EJA,18:02:35,1193.20,UIB,BGA,16:51:44,985.32
UIB,CUC,07:24:04,813.57,MTR,BOG,07:00:02,1209.50
MTR,EJA,05:04:48,670.16,CLO,BGA,15:21:31,977.08
SMR,EJA,00:32:27,939.20,ADZ,ADZ,04:35:25,958.94
BOG,ADZ,00:50:47,362.77,MTR,BOG,04:42:22,499.33
CLO,LET,16:29:31,1114.85,BGA,LET,05:03:36,318.03
MDE,UIB,05:52:15,1216.81,EJA,CTG,03:44:24,1492.69
CLO,CTG,20:21:57,348.89,BOG,SMR,05:24:35,1437.17
BGA,UIB,20:38:43,872.59,LET,BOG,17:49:37,1299.16
CUC,BOG,18:47:47,1091.99,BAQ,PEI,23:58:32,660.59
BOG,CUC,14:02:04,1044.09,MTR,MTR,17:19:48,808.26
BOG,BAQ,15:19:02,497.84,UIB,CUC,19:27:29,900.77
AUC,MTR,17:14:21,851.32,BAQ,MDE,01:32:46,1124.55
MDE,BOG,03:15:15,1301.60,MDE,BGA,17:46:34,355.43
AUC,BGA,10:21:20,473.72,MDE,MDE,10:04:17,1024.43
UIB,ADZ,15:31:50,642.95,CLO,CTG,10:07:53,1491.17
ADZ,EJA,16:01:24,588.41,UIB,ADZ,22:46:02,1392.55
CUC,CTG,07:54:27,1342.86,EJA,BGA,00:33:25,1261.10
CLO,ADZ,09:59:09,469.68,BGA,CLO,15:02:41,1312.60
MTR,MDE,03:09:12,474.67,BGA,EJA,15:27:58,651.89
BGA,SMR,03:50:27,1364.41,BOG,SMR,06:47:26,456.44
EJA,UIB,18:42:56,379.70,PEI,BOG,18:18:21,650.02
UIB,EJA,05:24:46,657.21,CTG,PEI,08:29:44,657.22
SMR,EJA,10:14:22,1326.44,ADZ,LET,05:58:54,1432.32
BOG,MTR,13:12:55,624.44,PEI,LET,20:50:01,664.39
AUC,MDE,17:10:37,1460.54,AUC,PEI,18:53:20,1045.75
LET,MTR,01:07:17,398.79,BOG,AUC,01:33:57,1270.98
ADZ,CUC,00:36:13,439.99,SMR,CUC,21:52:04,1163.76
MTR,PEI,06:31:18,1194.51,EJA,MDE,22:16:14,1204.50
CTG,BAQ,05:13:12,574.10,CLO,AUC,12:03:29,1290.85
BOG,BGA,06:26:17,507.44,SMR,MTR,07:35:23,815.81
LET,SMR,09:19:35,610.77,PEI,CUC,10:47:54,1181.48
MDE,SMR,10:43:38,1028.43,ADZ,PEI,17:52:27,1425.59
CUC,CTG,06:32:33,1253.01,BGA,UIB,13:27:21,891.23
BGA,BOG,03:47:08,554.30,CLO,CUC,06:27:15,679.27
MDE,SMR,09:00:18,1284.86,ADZ,BOG,16:59:30,855.87
CLO,BAQ,15:08:00,1379.36,BAQ,MTR,19:37:41,1259.87
CUC,PEI,12:14:59,691.49,SMR,AUC,22:34:57,322.94
CTG,EJA,21:54:48,549.97,CTG,CUC,10:19:04,556.88
